a,b,theta,Rt,A2,E,E_p1,E_t,machine_type,status,file_name
6.0,7.2,65,2.3,0,-39.70032376446761,-5.484534036484547,-7.1828139228746295,3,Done,anthracene_theta=65_Rt=2.3_A2=0_a=6_b=7.2.log
6.0,7.2,65,2.2,1,-39.904442727332935,-5.488816164783202,-7.231702599441633,3,Done,anthracene_theta=65_Rt=2.2_A2=1_a=6_b=7.2.log
6.0,7.2,65,2.0,7,-39.229211846366525,-5.658704457106069,-6.977950733038597,3,Done,anthracene_theta=65_Rt=2.0_A2=7_a=6_b=7.2.log
6.0,7.2,65,2.0,8,-38.730409167706966,-5.700533018680289,-6.832335782586597,3,Done,anthracene_theta=65_Rt=2.0_A2=8_a=6_b=7.2.log
6.0,7.2,65,2.0,9,-38.0595909380354,-5.742779501946643,-6.643507983535528,3,Done,anthracene_theta=65_Rt=2.0_A2=9_a=6_b=7.2.log
6.0,7.2,65,1.9,10,-37.23201568936929,-5.784330704016611,-6.415838570334017,3,Done,anthracene_theta=65_Rt=1.9_A2=10_a=6_b=7.2.log
6.0,7.2,65,1.9,11,-36.21831846470013,-5.823724526795559,-6.142717352777254,3,Done,anthracene_theta=65_Rt=1.9_A2=11_a=6_b=7.2.log
6.0,7.2,65,1.9,12,-34.94730700040236,-5.859490086790174,-5.807081706705503,3,Done,anthracene_theta=65_Rt=1.9_A2=12_a=6_b=7.2.log
6.0,7.2,65,1.8,13,-33.43383069126867,-5.889918046770617,-5.413498649431858,3,Done,anthracene_theta=65_Rt=1.8_A2=13_a=6_b=7.2.log
5.9,7.1,65,2.3,0,-39.554726384347305,-5.547135689179413,-7.11511375149712,3,Done,anthracene_theta=65_Rt=2.3_A2=0_a=5.9_b=7.1.log
5.9,7.2,65,2.3,0,-39.70729414536618,-5.547135689179413,-7.153255691751838,3,Done,anthracene_theta=65_Rt=2.3_A2=0_a=5.9_b=7.2.log
5.9,7.3,65,2.3,0,-39.60848391079344,-5.547135689179413,-7.128553133108653,3,Done,anthracene_theta=65_Rt=2.3_A2=0_a=5.9_b=7.3.log
6.0,7.1,65,2.3,0,-39.68053962895647,-5.484534036484547,-7.177867888996843,3,Done,anthracene_theta=65_Rt=2.3_A2=0_a=6_b=7.1.log
6.0,7.3,65,2.3,0,-39.49295178987086,-5.484534036484547,-7.130970929225441,3,Done,anthracene_theta=65_Rt=2.3_A2=0_a=6_b=7.3.log
6.1,7.1,65,2.3,0,-39.41532127279788,-5.28416507341899,-7.211747781489976,3,Done,anthracene_theta=65_Rt=2.3_A2=0_a=6.1_b=7.1.log
6.1,7.2,65,2.3,0,-39.3195582262706,-5.28416507341899,-7.187807019858155,3,Done,anthracene_theta=65_Rt=2.3_A2=0_a=6.1_b=7.2.log
6.1,7.3,65,2.3,0,-39.0193524225615,-5.28416507341899,-7.112755568930879,3,Done,anthracene_theta=65_Rt=2.3_A2=0_a=6.1_b=7.3.log
