a,b,theta,E,E_p1,E_p2,E_t,machine_type,status,file_name
3.7,12.4,0,-46.06690719,-0.012791164,-10.48210023,-6.2692811,3,Done,pentacene_theta=0_a=3.7_b=12.4_cx=0_cy=0_cz=0.log
3.8,12.4,0,-46.96760744,-0.012791164,-10.44534823,-6.512832163,3,Done,pentacene_theta=0_a=3.8_b=12.4_cx=0_cy=0_cz=0.log
3.9,12.4,0,-47.01582781,-0.012791164,-10.09550011,-6.699811318,3,Done,pentacene_theta=0_a=3.9_b=12.4_cx=0_cy=0_cz=0.log
3.8,12.3,0,-47.02454267,-0.014421435,-10.44534823,-6.526250837,3,Done,pentacene_theta=0_a=3.8_b=12.3_cx=0_cy=0_cz=0.log
3.9,12.3,0,-47.26797388,-0.014421435,-10.09550011,-6.7620327,3,Done,pentacene_theta=0_a=3.9_b=12.3_cx=0_cy=0_cz=0.log
4,12.3,0,-46.86402562,-0.014421435,-9.541076197,-6.938257588,3,Done,pentacene_theta=0_a=4.0_b=12.3_cx=0_cy=0_cz=0.log
4,12.4,0,-46.44606128,-0.012791164,-9.541076197,-6.834581641,3,Done,pentacene_theta=0_a=4.0_b=12.4_cx=0_cy=0_cz=0.log
4,12.5,0,-45.92856132,-0.01130271,-9.541076197,-6.705950876,3,Done,pentacene_theta=0_a=4.0_b=12.5_cx=0_cy=0_cz=0.log
3.8,12.2,0,-46.90021537,-0.016203563,-10.44534823,-6.494277948,3,Done,pentacene_theta=0_a=3.8_b=12.2_cx=0_cy=0_cz=0.log
3.9,12.2,0,-47.37186946,-0.016203563,-10.09550011,-6.787115529,3,Done,pentacene_theta=0_a=3.9_b=12.2_cx=0_cy=0_cz=0.log
4,12.2,0,-47.16213805,-0.016203563,-9.541076197,-7.011894632,3,Done,pentacene_theta=0_a=4.0_b=12.2_cx=0_cy=0_cz=0.log
3.8,12.1,0,-46.56322242,-0.018143824,-10.44534823,-6.40905958,3,Done,pentacene_theta=0_a=3.8_b=12.1_cx=0_cy=0_cz=0.log
3.9,12.1,0,-47.3005793,-0.018143824,-10.09550011,-6.76832286,3,Done,pentacene_theta=0_a=3.9_b=12.1_cx=0_cy=0_cz=0.log
4,12.1,0,-47.31741916,-0.018143824,-9.541076197,-7.04974478,3,Done,pentacene_theta=0_a=4.0_b=12.1_cx=0_cy=0_cz=0.log
6.7,6.3,21,-71.77748537,-8.112719109,-1.098276787,-13.33887339,3,Done,pentacene_theta=21_a=6.7_b=6.3_cx=0_cy=0_cz=0.log
3.8,12.3,21,-53.41618885,-0.092697032,-13.73373532,-6.440831039,3,Done,pentacene_theta=21_a=3.8_b=12.3_cx=0_cy=0_cz=0.log
6.9,6.2,22,-73.65564288,-8.554135999,-0.960254708,-13.65671537,3,Done,pentacene_theta=22_a=6.9_b=6.2_cx=0_cy=0_cz=0.log
3.7,12.3,22,-53.25237862,-0.097361942,-13.89023631,-6.319295529,3,Done,pentacene_theta=22_a=3.7_b=12.3_cx=0_cy=0_cz=0.log
6.7,6.5,23,-69.76958389,-7.220697329,-1.186416842,-13.23883889,3,Done,pentacene_theta=23_a=6.7_b=6.5_cx=0_cy=0_cz=0.log
7.1,6.2,23,-73.62704599,-8.708505969,-0.84999367,-13.62751168,3,Done,pentacene_theta=23_a=7.1_b=6.2_cx=0_cy=0_cz=0.log
3.7,12.2,23,-53.63952217,-0.107158628,-13.91216527,-6.400218591,3,Done,pentacene_theta=23_a=3.7_b=12.2_cx=0_cy=0_cz=0.log
6.8,6.5,24,-70.14283688,-7.092277408,-1.132728341,-13.42320634,3,Done,pentacene_theta=24_a=6.8_b=6.5_cx=0_cy=0_cz=0.log
7.3,6.1,24,-73.53955855,-9.121958502,-0.756583787,-13.44561849,3,Done,pentacene_theta=24_a=7.3_b=6.1_cx=0_cy=0_cz=0.log
3.7,12.2,24,-53.45130431,-0.111512292,-13.86346297,-6.375338447,3,Done,pentacene_theta=24_a=3.7_b=12.2_cx=0_cy=0_cz=0.log
6.9,6.6,26,-68.49092684,-6.214288006,-1.130705249,-13.45023508,3,Done,pentacene_theta=26_a=6.9_b=6.6_cx=0_cy=0_cz=0.log
7.6,6,26,-72.24090401,-9.516327202,-0.657222599,-12.9734511,3,Done,pentacene_theta=26_a=7.6_b=6.0_cx=0_cy=0_cz=0.log
3.9,12,26,-54.87304493,-0.131846754,-13.87005684,-6.717309435,3,Done,pentacene_theta=26_a=3.9_b=12.0_cx=0_cy=0_cz=0.log
6.9,6.7,27,-66.88100225,-5.526865861,-1.178280547,-13.36767736,3,Done,pentacene_theta=27_a=6.9_b=6.7_cx=0_cy=0_cz=0.log
7.8,5.9,27,-71.24421733,-9.851598265,-0.594784098,-12.58786315,3,Done,pentacene_theta=27_a=7.8_b=5.9_cx=0_cy=0_cz=0.log
3.9,12,27,-54.65427863,-0.135464349,-13.87080735,-6.660433811,3,Done,pentacene_theta=27_a=3.9_b=12.0_cx=0_cy=0_cz=0.log
6.9,6.7,28,-66.42373822,-5.353674356,-1.227279038,-13.31545786,3,Done,pentacene_theta=28_a=6.9_b=6.7_cx=0_cy=0_cz=0.log
8,5.8,28,-70.0602164,-10.14065949,-0.54188626,-12.17378122,3,Done,pentacene_theta=28_a=8.0_b=5.8_cx=0_cy=0_cz=0.log
6.6,6.2,21,-70.19529922,-8.228090588,-1.200943698,-12.83430766,3,Done,pentacene_theta=21_a=6.6_b=6.2_cx=0_cy=0_cz=0.log
6.6,6.3,21,-70.41290463,-8.112719109,-1.200943698,-12.94639475,3,Done,pentacene_theta=21_a=6.6_b=6.3_cx=0_cy=0_cz=0.log
6.6,6.4,21,-70.01458638,-7.790581831,-1.200943698,-13.00788383,3,Done,pentacene_theta=21_a=6.6_b=6.4_cx=0_cy=0_cz=0.log
6.7,6.2,21,-71.84208376,-8.228090588,-1.098276787,-13.29733725,3,Done,pentacene_theta=21_a=6.7_b=6.2_cx=0_cy=0_cz=0.log
6.7,6.4,21,-71.1304347,-7.790581831,-1.098276787,-13.33817937,3,Done,pentacene_theta=21_a=6.7_b=6.4_cx=0_cy=0_cz=0.log
6.8,6.2,21,-72.67712135,-8.228090588,-1.005350086,-13.55256,3,Done,pentacene_theta=21_a=6.8_b=6.2_cx=0_cy=0_cz=0.log
6.8,6.3,21,-72.38476695,-8.112719109,-1.005350086,-13.53715714,3,Done,pentacene_theta=21_a=6.8_b=6.3_cx=0_cy=0_cz=0.log
6.8,6.4,21,-71.54012594,-7.790581831,-1.005350086,-13.48706553,3,Done,pentacene_theta=21_a=6.8_b=6.4_cx=0_cy=0_cz=0.log
3.7,12.2,21,-53.51542077,-0.097717112,-13.81306764,-6.423462817,3,Done,pentacene_theta=21_a=3.7_b=12.2_cx=0_cy=0_cz=0.log
3.7,12.3,21,-53.18351818,-0.092697032,-13.81306764,-6.342997209,3,Done,pentacene_theta=21_a=3.7_b=12.3_cx=0_cy=0_cz=0.log
3.7,12.4,21,-52.71376671,-0.087981922,-13.81306764,-6.227916896,3,Done,pentacene_theta=21_a=3.7_b=12.4_cx=0_cy=0_cz=0.log
3.8,12.2,21,-53.89452968,-0.097717112,-13.73373532,-6.557906207,3,Done,pentacene_theta=21_a=3.8_b=12.2_cx=0_cy=0_cz=0.log
3.8,12.4,21,-52.82195696,-0.087981922,-13.73373532,-6.294630621,3,Done,pentacene_theta=21_a=3.8_b=12.4_cx=0_cy=0_cz=0.log
3.9,12.2,21,-53.35130683,-0.097717112,-13.27150768,-6.653214308,3,Done,pentacene_theta=21_a=3.9_b=12.2_cx=0_cy=0_cz=0.log
3.9,12.3,21,-52.74529783,-0.092697032,-13.27150768,-6.504222099,3,Done,pentacene_theta=21_a=3.9_b=12.3_cx=0_cy=0_cz=0.log
3.9,12.4,21,-52.04463522,-0.087981922,-13.27150768,-6.331414002,3,Done,pentacene_theta=21_a=3.9_b=12.4_cx=0_cy=0_cz=0.log
6.8,6.1,22,-73.05486229,-8.606215564,-1.045631208,-13.43779219,3,Done,pentacene_theta=22_a=6.8_b=6.1_cx=0_cy=0_cz=0.log
6.8,6.2,22,-73.22869511,-8.554135999,-1.045631208,-13.50729017,3,Done,pentacene_theta=22_a=6.8_b=6.2_cx=0_cy=0_cz=0.log
6.8,6.3,22,-72.72541954,-8.26181674,-1.045631208,-13.52763091,3,Done,pentacene_theta=22_a=6.8_b=6.3_cx=0_cy=0_cz=0.log
6.9,6.1,22,-73.72583615,-8.606215564,-0.960254708,-13.6482239,3,Done,pentacene_theta=22_a=6.9_b=6.1_cx=0_cy=0_cz=0.log
6.9,6.3,22,-72.94138087,-8.26181674,-0.960254708,-13.62430949,3,Done,pentacene_theta=22_a=6.9_b=6.3_cx=0_cy=0_cz=0.log
7,6.1,22,-73.79291194,-8.606215564,-0.884708779,-13.70276581,3,Done,pentacene_theta=22_a=7.0_b=6.1_cx=0_cy=0_cz=0.log
7,6.2,22,-73.52793957,-8.554135999,-0.884708779,-13.6625625,3,Done,pentacene_theta=22_a=7.0_b=6.2_cx=0_cy=0_cz=0.log
7,6.3,22,-72.64855208,-8.26181674,-0.884708779,-13.58887526,3,Done,pentacene_theta=22_a=7.0_b=6.3_cx=0_cy=0_cz=0.log
3.6,12.2,22,-51.63723189,-0.102552704,-13.19534993,-6.260356653,3,Done,pentacene_theta=22_a=3.6_b=12.2_cx=0_cy=0_cz=0.log
3.6,12.3,22,-51.39494275,-0.097361942,-13.19534993,-6.202379749,3,Done,pentacene_theta=22_a=3.6_b=12.3_cx=0_cy=0_cz=0.log
3.6,12.4,22,-51.00084387,-0.092484934,-13.19534993,-6.106293535,3,Done,pentacene_theta=22_a=3.6_b=12.4_cx=0_cy=0_cz=0.log
3.7,12.2,22,-53.64935902,-0.102552704,-13.89023631,-6.415945247,3,Done,pentacene_theta=22_a=3.7_b=12.2_cx=0_cy=0_cz=0.log
3.7,12.4,22,-52.72578478,-0.092484934,-13.89023631,-6.190085573,3,Done,pentacene_theta=22_a=3.7_b=12.4_cx=0_cy=0_cz=0.log
3.8,12.2,22,-54.07730829,-0.102552704,-13.87034926,-6.532876088,3,Done,pentacene_theta=22_a=3.8_b=12.2_cx=0_cy=0_cz=0.log
3.8,12.3,22,-53.54324707,-0.097361942,-13.87034926,-6.401956166,3,Done,pentacene_theta=22_a=3.8_b=12.3_cx=0_cy=0_cz=0.log
3.8,12.4,22,-52.90119892,-0.092484934,-13.87034926,-6.243882633,3,Done,pentacene_theta=22_a=3.8_b=12.4_cx=0_cy=0_cz=0.log
6.6,6.4,23,-69.03371546,-7.773213609,-1.292197458,-12.72572333,3,Done,pentacene_theta=23_a=6.6_b=6.4_cx=0_cy=0_cz=0.log
6.6,6.5,23,-68.32937314,-7.220697329,-1.292197458,-12.82589589,3,Done,pentacene_theta=23_a=6.6_b=6.5_cx=0_cy=0_cz=0.log
6.6,6.6,23,-67.4107738,-6.662420507,-1.292197458,-12.87538447,3,Done,pentacene_theta=23_a=6.6_b=6.6_cx=0_cy=0_cz=0.log
6.7,6.4,23,-70.75805521,-7.773213609,-1.186416842,-13.20969858,3,Done,pentacene_theta=23_a=6.7_b=6.4_cx=0_cy=0_cz=0.log
6.7,6.6,23,-68.59948607,-6.662420507,-1.186416842,-13.22545284,3,Done,pentacene_theta=23_a=6.7_b=6.6_cx=0_cy=0_cz=0.log
6.8,6.4,23,-71.65789953,-7.773213609,-1.08811238,-13.48381189,3,Done,pentacene_theta=23_a=6.8_b=6.4_cx=0_cy=0_cz=0.log
6.8,6.5,23,-70.43987501,-7.220697329,-1.08811238,-13.4555639,3,Done,pentacene_theta=23_a=6.8_b=6.5_cx=0_cy=0_cz=0.log
6.8,6.6,23,-69.07018885,-6.662420507,-1.08811238,-13.39228077,3,Done,pentacene_theta=23_a=6.8_b=6.6_cx=0_cy=0_cz=0.log
7,6.1,23,-74.53214131,-8.958745662,-0.920799389,-13.6932628,3,Done,pentacene_theta=23_a=7.0_b=6.1_cx=0_cy=0_cz=0.log
7,6.2,23,-74.01034416,-8.708505969,-0.920799389,-13.68793336,3,Done,pentacene_theta=23_a=7.0_b=6.2_cx=0_cy=0_cz=0.log
7,6.3,23,-72.98329854,-8.286991186,-0.920799389,-13.64192935,3,Done,pentacene_theta=23_a=7.0_b=6.3_cx=0_cy=0_cz=0.log
7.1,6.1,23,-74.33076834,-8.958745662,-0.84999367,-13.67832242,3,Done,pentacene_theta=23_a=7.1_b=6.1_cx=0_cy=0_cz=0.log
7.1,6.3,23,-72.447405,-8.286991186,-0.84999367,-13.54335882,3,Done,pentacene_theta=23_a=7.1_b=6.3_cx=0_cy=0_cz=0.log
7.2,6.1,23,-73.71607209,-8.958745662,-0.784519277,-13.55738555,3,Done,pentacene_theta=23_a=7.2_b=6.1_cx=0_cy=0_cz=0.log
7.2,6.2,23,-72.87176994,-8.708505969,-0.784519277,-13.47142986,3,Done,pentacene_theta=23_a=7.2_b=6.2_cx=0_cy=0_cz=0.log
7.2,6.3,23,-71.57687293,-8.286991186,-0.784519277,-13.358463,3,Done,pentacene_theta=23_a=7.2_b=6.3_cx=0_cy=0_cz=0.log
3.6,12.1,23,-51.57168596,-0.112840103,-13.07552,-6.298741439,3,Done,pentacene_theta=23_a=3.6_b=12.1_cx=0_cy=0_cz=0.log
3.6,12.2,23,-51.42274018,-0.107158628,-13.07552,-6.264345734,3,Done,pentacene_theta=23_a=3.6_b=12.2_cx=0_cy=0_cz=0.log
3.6,12.3,23,-51.10475577,-0.101817263,-13.07552,-6.187520312,3,Done,pentacene_theta=23_a=3.6_b=12.3_cx=0_cy=0_cz=0.log
3.7,12.1,23,-53.95612104,-0.112840103,-13.91216527,-6.476527572,3,Done,pentacene_theta=23_a=3.7_b=12.1_cx=0_cy=0_cz=0.log
3.7,12.3,23,-53.17691929,-0.101817263,-13.91216527,-6.287238553,3,Done,pentacene_theta=23_a=3.7_b=12.3_cx=0_cy=0_cz=0.log
3.8,12.1,23,-54.62884439,-0.112840103,-13.97440172,-6.613590189,3,Done,pentacene_theta=23_a=3.8_b=12.1_cx=0_cy=0_cz=0.log
3.8,12.2,23,-54.16244131,-0.107158628,-13.97440172,-6.499830156,3,Done,pentacene_theta=23_a=3.8_b=12.2_cx=0_cy=0_cz=0.log
3.8,12.3,23,-53.57252167,-0.101817263,-13.97440172,-6.355020929,3,Done,pentacene_theta=23_a=3.8_b=12.3_cx=0_cy=0_cz=0.log
6.7,6.4,24,-70.0627917,-7.663824811,-1.233148767,-13.06721114,3,Done,pentacene_theta=24_a=6.7_b=6.4_cx=0_cy=0_cz=0.log
6.7,6.5,24,-69.21174005,-7.092277408,-1.233148767,-13.14022192,3,Done,pentacene_theta=24_a=6.7_b=6.5_cx=0_cy=0_cz=0.log
6.7,6.6,24,-68.17974965,-6.530777694,-1.233148767,-13.16297418,3,Done,pentacene_theta=24_a=6.7_b=6.6_cx=0_cy=0_cz=0.log
6.8,6.4,24,-71.25680267,-7.663824811,-1.132728341,-13.41592409,3,Done,pentacene_theta=24_a=6.8_b=6.4_cx=0_cy=0_cz=0.log
6.8,6.6,24,-68.8804976,-6.530777694,-1.132728341,-13.38837138,3,Done,pentacene_theta=24_a=6.8_b=6.6_cx=0_cy=0_cz=0.log
6.9,6.4,24,-71.74104711,-7.663824811,-1.04102403,-13.58283736,3,Done,pentacene_theta=24_a=6.9_b=6.4_cx=0_cy=0_cz=0.log
6.9,6.5,24,-70.41537451,-7.092277408,-1.04102403,-13.53719291,3,Done,pentacene_theta=24_a=6.9_b=6.5_cx=0_cy=0_cz=0.log
6.9,6.6,24,-68.97103976,-6.530777694,-1.04102403,-13.45685908,3,Done,pentacene_theta=24_a=6.9_b=6.6_cx=0_cy=0_cz=0.log
7.2,6,24,-74.78334612,-9.316610849,-0.818862899,-13.62809965,3,Done,pentacene_theta=24_a=7.2_b=6.0_cx=0_cy=0_cz=0.log
7.2,6.1,24,-74.31330097,-9.121958502,-0.818862899,-13.60791454,3,Done,pentacene_theta=24_a=7.2_b=6.1_cx=0_cy=0_cz=0.log
7.2,6.2,24,-73.28780906,-8.727986389,-0.818862899,-13.54852762,3,Done,pentacene_theta=24_a=7.2_b=6.2_cx=0_cy=0_cz=0.log
7.3,6,24,-74.17012076,-9.316610849,-0.756583787,-13.50593287,3,Done,pentacene_theta=24_a=7.3_b=6.0_cx=0_cy=0_cz=0.log
7.3,6.2,24,-72.38156414,-8.727986389,-0.756583787,-13.35310595,3,Done,pentacene_theta=24_a=7.3_b=6.2_cx=0_cy=0_cz=0.log
7.4,6,24,-73.24695816,-9.316610849,-0.69876125,-13.30405349,3,Done,pentacene_theta=24_a=7.4_b=6.0_cx=0_cy=0_cz=0.log
7.4,6.1,24,-72.49280409,-9.121958502,-0.69876125,-13.21284115,3,Done,pentacene_theta=24_a=7.4_b=6.1_cx=0_cy=0_cz=0.log
7.4,6.2,24,-71.23541713,-8.727986389,-0.69876125,-13.09548046,3,Done,pentacene_theta=24_a=7.4_b=6.2_cx=0_cy=0_cz=0.log
3.6,12.1,24,-51.19486495,-0.117335585,-12.8506361,-6.314730394,3,Done,pentacene_theta=24_a=3.6_b=12.1_cx=0_cy=0_cz=0.log
3.6,12.2,24,-50.95986998,-0.111512292,-12.8506361,-6.258893299,3,Done,pentacene_theta=24_a=3.6_b=12.2_cx=0_cy=0_cz=0.log
3.6,12.3,24,-50.56561047,-0.10603162,-12.8506361,-6.163068757,3,Done,pentacene_theta=24_a=3.6_b=12.3_cx=0_cy=0_cz=0.log
3.7,12.1,24,-53.84310398,-0.117335585,-13.86346297,-6.470376719,3,Done,pentacene_theta=24_a=3.7_b=12.1_cx=0_cy=0_cz=0.log
3.7,12.3,24,-52.92290826,-0.10603162,-13.86346297,-6.245979771,3,Done,pentacene_theta=24_a=3.7_b=12.3_cx=0_cy=0_cz=0.log
3.8,12.1,24,-54.6598346,-0.117335585,-14.03690861,-6.587836551,3,Done,pentacene_theta=24_a=3.8_b=12.1_cx=0_cy=0_cz=0.log
3.8,12.2,24,-54.12874528,-0.111512292,-14.03690861,-6.457975867,3,Done,pentacene_theta=24_a=3.8_b=12.2_cx=0_cy=0_cz=0.log
3.8,12.3,24,-53.48338388,-0.10603162,-14.03690861,-6.299375852,3,Done,pentacene_theta=24_a=3.8_b=12.3_cx=0_cy=0_cz=0.log
6.8,6.5,26,-68.90348706,-6.765046003,-1.227361869,-13.22966783,3,Done,pentacene_theta=26_a=6.8_b=6.5_cx=0_cy=0_cz=0.log
6.8,6.6,26,-67.96794997,-6.214288006,-1.227361869,-13.27116255,3,Done,pentacene_theta=26_a=6.8_b=6.6_cx=0_cy=0_cz=0.log
6.8,6.7,26,-66.89354241,-5.691947427,-1.227361869,-13.26373095,3,Done,pentacene_theta=26_a=6.8_b=6.7_cx=0_cy=0_cz=0.log
6.9,6.5,26,-69.66982737,-6.765046003,-1.130705249,-13.46958122,3,Done,pentacene_theta=26_a=6.9_b=6.5_cx=0_cy=0_cz=0.log
6.9,6.7,26,-67.2050208,-5.691947427,-1.130705249,-13.38992886,3,Done,pentacene_theta=26_a=6.9_b=6.7_cx=0_cy=0_cz=0.log
7,6.5,26,-69.82794232,-6.765046003,-1.042842554,-13.5530413,3,Done,pentacene_theta=26_a=7.0_b=6.5_cx=0_cy=0_cz=0.log
7,6.6,26,-68.4540167,-6.214288006,-1.042842554,-13.4849389,3,Done,pentacene_theta=26_a=7.0_b=6.6_cx=0_cy=0_cz=0.log
7,6.7,26,-67.00221208,-5.691947427,-1.042842554,-13.38315803,3,Done,pentacene_theta=26_a=7.0_b=6.7_cx=0_cy=0_cz=0.log
7.5,5.9,26,-74.05614737,-9.817598518,-0.709125206,-13.25067498,3,Done,pentacene_theta=26_a=7.5_b=5.9_cx=0_cy=0_cz=0.log
7.5,6,26,-73.32162934,-9.516327202,-0.709125206,-13.21768113,3,Done,pentacene_theta=26_a=7.5_b=6.0_cx=0_cy=0_cz=0.log
7.5,6.1,26,-72.11865,-9.055339531,-0.709125206,-13.14743013,3,Done,pentacene_theta=26_a=7.5_b=6.1_cx=0_cy=0_cz=0.log
7.6,5.9,26,-73.11438538,-9.817598518,-0.657222599,-13.04118579,3,Done,pentacene_theta=26_a=7.6_b=5.9_cx=0_cy=0_cz=0.log
7.6,6.1,26,-70.92519877,-9.055339531,-0.657222599,-12.87501863,3,Done,pentacene_theta=26_a=7.6_b=6.1_cx=0_cy=0_cz=0.log
7.7,5.9,26,-71.96015353,-9.817598518,-0.609702521,-12.77638786,3,Done,pentacene_theta=26_a=7.7_b=5.9_cx=0_cy=0_cz=0.log
7.7,6,26,-70.98019877,-9.516327202,-0.609702521,-12.68203483,3,Done,pentacene_theta=26_a=7.7_b=6.0_cx=0_cy=0_cz=0.log
7.7,6.1,26,-69.58068581,-9.055339531,-0.609702521,-12.56265043,3,Done,pentacene_theta=26_a=7.7_b=6.1_cx=0_cy=0_cz=0.log
3.8,11.9,26,-55.18122137,-0.138691005,-13.98525764,-6.73333102,3,Done,pentacene_theta=26_a=3.8_b=11.9_cx=0_cy=0_cz=0.log
3.8,12,26,-54.78658786,-0.131847381,-13.98525764,-6.638094455,3,Done,pentacene_theta=26_a=3.8_b=12.0_cx=0_cy=0_cz=0.log
3.8,12.1,26,-54.24727815,-0.125399088,-13.98525764,-6.506491175,3,Done,pentacene_theta=26_a=3.8_b=12.1_cx=0_cy=0_cz=0.log
3.9,11.9,26,-55.41172085,-0.138691005,-13.87005684,-6.848556289,3,Done,pentacene_theta=26_a=3.9_b=11.9_cx=0_cy=0_cz=0.log
3.9,12.1,26,-54.2132395,-0.125399088,-13.87005684,-6.55558191,3,Done,pentacene_theta=26_a=3.9_b=12.1_cx=0_cy=0_cz=0.log
4,11.9,26,-54.7389222,-0.138691005,-13.37870647,-6.926031811,3,Done,pentacene_theta=26_a=4.0_b=11.9_cx=0_cy=0_cz=0.log
4,12,26,-54.07611351,-0.131847381,-13.37870647,-6.76375145,3,Done,pentacene_theta=26_a=4.0_b=12.0_cx=0_cy=0_cz=0.log
4,12.1,26,-53.31493384,-0.125399088,-13.37870647,-6.576680678,3,Done,pentacene_theta=26_a=4.0_b=12.1_cx=0_cy=0_cz=0.log
6.8,6.6,27,-67.2421217,-6.035912013,-1.276734356,-13.15420724,3,Done,pentacene_theta=27_a=6.8_b=6.6_cx=0_cy=0_cz=0.log
6.8,6.7,27,-66.35399927,-5.526865861,-1.276734356,-13.18669971,3,Done,pentacene_theta=27_a=6.8_b=6.7_cx=0_cy=0_cz=0.log
6.8,6.8,27,-65.34050034,-5.050140239,-1.276734356,-13.17168779,3,Done,pentacene_theta=27_a=6.8_b=6.8_cx=0_cy=0_cz=0.log
6.9,6.6,27,-68.01121553,-6.035912013,-1.178280547,-13.3957076,3,Done,pentacene_theta=27_a=6.9_b=6.6_cx=0_cy=0_cz=0.log
6.9,6.8,27,-65.65649178,-5.050140239,-1.178280547,-13.29991255,3,Done,pentacene_theta=27_a=6.9_b=6.8_cx=0_cy=0_cz=0.log
7,6.6,27,-68.1769861,-6.035912013,-1.087717049,-13.48243199,3,Done,pentacene_theta=27_a=7.0_b=6.6_cx=0_cy=0_cz=0.log
7,6.7,27,-66.85322865,-5.526865861,-1.087717049,-13.40601571,3,Done,pentacene_theta=27_a=7.0_b=6.7_cx=0_cy=0_cz=0.log
7,6.8,27,-65.46329651,-5.050140239,-1.087717049,-13.29689548,3,Done,pentacene_theta=27_a=7.0_b=6.8_cx=0_cy=0_cz=0.log
7.7,5.8,27,-73.04031284,-10.0863303,-0.639968583,-12.89692877,3,Done,pentacene_theta=27_a=7.7_b=5.8_cx=0_cy=0_cz=0.log
7.7,5.9,27,-72.42974185,-9.851598265,-0.639968583,-12.86165204,3,Done,pentacene_theta=27_a=7.7_b=5.9_cx=0_cy=0_cz=0.log
7.7,6,27,-71.30333881,-9.4298877,-0.639968583,-12.79090656,3,Done,pentacene_theta=27_a=7.7_b=6.0_cx=0_cy=0_cz=0.log
7.8,5.8,27,-71.98294344,-10.0863303,-0.594784098,-12.65517866,3,Done,pentacene_theta=27_a=7.8_b=5.8_cx=0_cy=0_cz=0.log
7.8,6,27,-70.014491,-9.4298877,-0.594784098,-12.49128685,3,Done,pentacene_theta=27_a=7.8_b=6.0_cx=0_cy=0_cz=0.log
7.9,5.8,27,-70.74974321,-10.0863303,-0.553285607,-12.36762785,3,Done,pentacene_theta=27_a=7.9_b=5.8_cx=0_cy=0_cz=0.log
7.9,5.9,27,-69.91278418,-9.851598265,-0.553285607,-12.27575411,3,Done,pentacene_theta=27_a=7.9_b=5.9_cx=0_cy=0_cz=0.log
7.9,6,27,-68.60635856,-9.4298877,-0.553285607,-12.16000299,3,Done,pentacene_theta=27_a=7.9_b=6.0_cx=0_cy=0_cz=0.log
3.8,11.9,27,-54.82810769,-0.14241465,-13.84186219,-6.714888501,3,Done,pentacene_theta=27_a=3.8_b=11.9_cx=0_cy=0_cz=0.log
3.8,12,27,-54.35016093,-0.135464349,-13.84186219,-6.598876962,3,Done,pentacene_theta=27_a=3.8_b=12.0_cx=0_cy=0_cz=0.log
3.8,12.1,27,-53.73959872,-0.12892193,-13.84186219,-6.449507619,3,Done,pentacene_theta=27_a=3.8_b=12.1_cx=0_cy=0_cz=0.log
3.9,11.9,27,-55.26356072,-0.14241465,-13.87080735,-6.809279183,3,Done,pentacene_theta=27_a=3.9_b=11.9_cx=0_cy=0_cz=0.log
3.9,12.1,27,-53.93538058,-0.12892193,-13.87080735,-6.483980509,3,Done,pentacene_theta=27_a=3.9_b=12.1_cx=0_cy=0_cz=0.log
4,11.9,27,-54.70298847,-0.14241465,-13.47094793,-6.869065825,3,Done,pentacene_theta=27_a=4.0_b=11.9_cx=0_cy=0_cz=0.log
4,12,27,-53.98187908,-0.135464349,-13.47094793,-6.692263628,3,Done,pentacene_theta=27_a=4.0_b=12.0_cx=0_cy=0_cz=0.log
4,12.1,27,-53.17310905,-0.12892193,-13.47094793,-6.493342331,3,Done,pentacene_theta=27_a=4.0_b=12.1_cx=0_cy=0_cz=0.log
6.8,6.6,28,-66.3442076,-5.848757156,-1.327069443,-12.9981386,3,Done,pentacene_theta=28_a=6.8_b=6.6_cx=0_cy=0_cz=0.log
6.8,6.7,28,-65.6666976,-5.353674356,-1.327069443,-13.0763025,3,Done,pentacene_theta=28_a=6.8_b=6.7_cx=0_cy=0_cz=0.log
6.8,6.8,28,-64.83283973,-4.890968562,-1.327069443,-13.09919093,3,Done,pentacene_theta=28_a=6.8_b=6.8_cx=0_cy=0_cz=0.log
6.9,6.6,28,-67.37485513,-5.848757156,-1.227279038,-13.30569568,3,Done,pentacene_theta=28_a=6.9_b=6.6_cx=0_cy=0_cz=0.log
6.9,6.8,28,-65.3494411,-4.890968562,-1.227279038,-13.27823647,3,Done,pentacene_theta=28_a=6.9_b=6.8_cx=0_cy=0_cz=0.log
7,6.6,28,-67.75985259,-5.848757156,-1.134275781,-13.44844668,3,Done,pentacene_theta=28_a=7.0_b=6.6_cx=0_cy=0_cz=0.log
7,6.7,28,-66.5857864,-5.353674356,-1.134275781,-13.40247153,3,Done,pentacene_theta=28_a=7.0_b=6.7_cx=0_cy=0_cz=0.log
7,6.8,28,-65.31940847,-4.890968562,-1.134275781,-13.31722995,3,Done,pentacene_theta=28_a=7.0_b=6.8_cx=0_cy=0_cz=0.log
7.9,5.7,28,-71.76055138,-10.29541036,-0.581400565,-12.50173238,3,Done,pentacene_theta=28_a=7.9_b=5.7_cx=0_cy=0_cz=0.log
7.9,5.8,28,-71.30537947,-10.14065949,-0.581400565,-12.46531484,3,Done,pentacene_theta=28_a=7.9_b=5.8_cx=0_cy=0_cz=0.log
7.9,5.9,28,-70.28468175,-9.769994355,-0.581400565,-12.39547298,3,Done,pentacene_theta=28_a=7.9_b=5.9_cx=0_cy=0_cz=0.log
