a,b,theta,E,E_p1,E_p2,E_t,machine_type,status,file_name
6.6,7,15,-60.80977397,-4.864015125,-0.974608371,-12.28313174,2,Done,pentacene_theta=15_a=6.6_b=7.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,13,10,-44.97608899,-0.023189004,-11.20959015,-5.627632672,2,Done,pentacene_theta=10_a=3.6_b=13.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,7.6,5,-50.18423876,-2.269767676,-0.777537601,-11.02240705,1,Done,pentacene_theta=5_a=6.6_b=7.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,13.2,5,-42.26359669,-0.008241716,-10.32437183,-5.3995924,1,Done,pentacene_theta=5_a=3.6_b=13.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.7,6.8,15,-62.59032732,-5.476181878,-0.890004963,-12.46448841,2,Done,pentacene_theta=15_a=6.7_b=6.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,13.1,10,-44.34921905,-0.02163027,-11.20959015,-5.471694554,2,Done,pentacene_theta=10_a=3.6_b=13.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.3,7.3,5,-52.78717534,-2.750269653,-1.054604601,-11.29435671,1,Done,pentacene_theta=5_a=6.3_b=7.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.7,6.9,15,-61.59062357,-5.209075972,-0.890004963,-12.34811542,2,Done,pentacene_theta=15_a=6.7_b=6.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.7,7.4,10,-53.0005325,-3.110532557,-0.773432431,-11.30815063,1,Done,pentacene_theta=10_a=6.7_b=7.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,13.2,10,-43.66829289,-0.020173192,-11.20959015,-5.302191553,2,Done,pentacene_theta=10_a=3.6_b=13.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.7,7,15,-60.42233173,-4.864015125,-0.890004963,-12.22857289,2,Done,pentacene_theta=15_a=6.7_b=7.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,13.3,5,-41.5908382,-0.007353162,-10.32437183,-5.231847055,1,Done,pentacene_theta=5_a=3.6_b=13.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.3,7.4,5,-52.61027023,-2.661943856,-1.054604601,-11.29429333,1,Done,pentacene_theta=5_a=6.3_b=7.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
