a,b,theta,Rt,A2,E,E_p1,E_t,machine_type,status,file_name
6,7.2,65,0.0,-24,-17.96196421154309,-3.4019563585170545,-2.789512873627245,3,Done,naphthalene_theta=65_Rt=0.0_A2=-24_a=6_b=7.2.log
6,7.2,65,0.0,-20,-21.154087501461618,-3.6650587513577193,-3.4559924996865448,3,Done,naphthalene_theta=65_Rt=0.0_A2=-20_a=6_b=7.2.log
6,7.2,65,0.0,-16,-23.57070381275844,-3.765717630449217,-4.009817137965001,3,Done,naphthalene_theta=65_Rt=0.0_A2=-16_a=6_b=7.2.log
6,7.2,65,0.0,-12,-25.411375130759552,-3.739135679381434,-4.483275942999171,3,Done,naphthalene_theta=65_Rt=0.0_A2=-12_a=6_b=7.2.log
6,7.2,65,0.0,-8,-26.83305927657057,-3.651566658867523,-4.88248148970888,3,Done,naphthalene_theta=65_Rt=0.0_A2=-8_a=6_b=7.2.log
6,7.2,65,0.0,-4,-27.806554445414804,-3.560367492958904,-5.171454864874249,3,Done,naphthalene_theta=65_Rt=0.0_A2=-4_a=6_b=7.2.log
6,7.2,65,0.0,0,-28.15877831855323,-3.520475427270867,-5.279456866002874,3,Done,naphthalene_theta=65_Rt=0.0_A2=0_a=6_b=7.2.log
6,7.2,65,0.0,4,-27.80654691508971,-3.5603662379435264,-5.171453609800665,3,Done,naphthalene_theta=65_Rt=0.0_A2=4_a=6_b=7.2.log
6,7.2,65,0.0,8,-26.833055511582643,-3.6515672864043154,-4.882480234693503,3,Done,naphthalene_theta=65_Rt=0.0_A2=8_a=6_b=7.2.log
6,7.2,65,0.0,12,-25.411367600783706,-3.739135679381434,-4.4832740605052095,3,Done,naphthalene_theta=65_Rt=0.0_A2=12_a=6_b=7.2.log
6,7.2,65,0.0,16,-23.571001252392307,-3.7658701153704897,-4.009815255412832,3,Done,naphthalene_theta=65_Rt=0.0_A2=16_a=6_b=7.2.log
6,7.2,65,0.0,20,-21.15407997148577,-3.6650587513577193,-3.455990617192583,3,Done,naphthalene_theta=65_Rt=0.0_A2=20_a=6_b=7.2.log
6,7.2,65,0.0,24,-17.96195166162215,-3.401955103501677,-2.789510363654699,3,Done,naphthalene_theta=65_Rt=0.0_A2=24_a=6_b=7.2.log
6,7.2,65,0.0,28,-14.069455675547944,-3.026797622500453,-2.003965107636759,3,Done,naphthalene_theta=65_Rt=0.0_A2=28_a=6_b=7.2.log
6,7.2,65,0.2,-28,-13.76537688006647,-3.026797622558661,-1.927945408737287,3,Done,naphthalene_theta=65_Rt=0.2_A2=-28_a=6_b=7.2.log
6,7.2,65,0.2,-24,-17.957694633631036,-3.4019563585170545,-2.788445479149232,3,Done,naphthalene_theta=65_Rt=0.2_A2=-24_a=6_b=7.2.log
6,7.2,65,0.2,-20,-21.32456439814996,-3.6650587513577193,-3.4986117238586303,3,Done,naphthalene_theta=65_Rt=0.2_A2=-20_a=6_b=7.2.log
6,7.2,65,0.2,-16,-23.85209686681628,-3.765717630449217,-4.080165401479462,3,Done,naphthalene_theta=65_Rt=0.2_A2=-16_a=6_b=7.2.log
6,7.2,65,0.2,-12,-25.71707039221656,-3.739135679381434,-4.559699758363422,3,Done,naphthalene_theta=65_Rt=0.2_A2=-12_a=6_b=7.2.log
6,7.2,65,0.2,-8,-27.056121511384845,-3.651566658867523,-4.93824704841245,3,Done,naphthalene_theta=65_Rt=0.2_A2=-8_a=6_b=7.2.log
6,7.2,65,0.2,-4,-27.82497813878581,-3.560367492958904,-5.176060788217001,3,Done,naphthalene_theta=65_Rt=0.2_A2=-4_a=6_b=7.2.log
6,7.2,65,0.2,0,-27.91273415728938,-3.520475427270867,-5.217945825686911,3,Done,naphthalene_theta=65_Rt=0.2_A2=0_a=6_b=7.2.log
6,7.2,65,0.2,4,-27.33947616163641,-3.5603662379435264,-5.05468592143734,3,Done,naphthalene_theta=65_Rt=0.2_A2=4_a=6_b=7.2.log
6,7.2,65,0.2,8,-26.281188077060506,-3.6515672864043154,-4.744513376062969,3,Done,naphthalene_theta=65_Rt=0.2_A2=8_a=6_b=7.2.log
6,7.2,65,0.2,12,-24.91987917816732,-3.739135679381434,-4.360401954851113,3,Done,naphthalene_theta=65_Rt=0.2_A2=12_a=6_b=7.2.log
6,7.2,65,0.2,16,-23.258393340511248,-3.7658701153704897,-3.931663277442567,3,Done,naphthalene_theta=65_Rt=0.2_A2=16_a=6_b=7.2.log
6,7.2,65,0.2,20,-21.131923848297447,-3.6650587513577193,-3.450451586395502,3,Done,naphthalene_theta=65_Rt=0.2_A2=20_a=6_b=7.2.log
6,7.2,65,0.2,24,-18.3261885860702,-3.401955103501677,-2.880569594766712,3,Done,naphthalene_theta=65_Rt=0.2_A2=24_a=6_b=7.2.log
6,7.2,65,0.2,28,-14.900929016177544,-3.026797622500453,-2.211833442794159,3,Done,naphthalene_theta=65_Rt=0.2_A2=28_a=6_b=7.2.log
6,7.2,65,0.4,-28,-13.881910507334396,-3.026797622558661,-1.9570788155542689,3,Done,naphthalene_theta=65_Rt=0.4_A2=-28_a=6_b=7.2.log
6,7.2,65,0.4,-24,-18.11154251557309,-3.4019563585170545,-2.8269074496347457,3,Done,naphthalene_theta=65_Rt=0.4_A2=-24_a=6_b=7.2.log
6,7.2,65,0.4,-20,-21.453198928036727,-3.6650587513577193,-3.530770356330322,3,Done,naphthalene_theta=65_Rt=0.4_A2=-20_a=6_b=7.2.log
6,7.2,65,0.4,-16,-23.92940107884351,-3.765717630449217,-4.0994914544862695,3,Done,naphthalene_theta=65_Rt=0.4_A2=-16_a=6_b=7.2.log
6,7.2,65,0.4,-12,-25.68317732203286,-3.739135679381434,-4.551226490817498,3,Done,naphthalene_theta=65_Rt=0.4_A2=-12_a=6_b=7.2.log
6,7.2,65,0.4,-8,-26.8360863851849,-3.651566658867523,-4.883238266862463,3,Done,naphthalene_theta=65_Rt=0.4_A2=-8_a=6_b=7.2.log
6,7.2,65,0.4,-4,-27.36614031658973,-3.560367492958904,-5.061351332667982,3,Done,naphthalene_theta=65_Rt=0.4_A2=-4_a=6_b=7.2.log
