cx,cy,cz,a,b,theta,Rt,A2,E,E_i01,E_ip1,E_ip2,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
0.0,0.9,11.5,5.9,7.2,65.0,2.3,0.0,-5.279082242632285,-0.9454956722911448,-0.0999523028731346,-0.1428350812057033,-1.996795805927832,-0.0486037872033193,-0.0486037872033193,-1.996795805927832,3,Done,anthracene_a=5.9_b=7.2_theta=65.0_Rt=2.3_A2=0.0_cx=0.0_cy=0.9_cz=11.5.log
0.0,1.0,11.3,5.9,7.2,65.0,2.3,0.0,-5.572956470772624,-0.9965222754981368,-0.1132530047325417,-0.1628074696054682,-2.0965134200523607,-0.0536734404158778,-0.0536734404158778,-2.0965134200523607,3,Done,anthracene_a=5.9_b=7.2_theta=65.0_Rt=2.3_A2=0.0_cx=0.0_cy=1.0_cz=11.3.log
0.0,1.0,11.4,5.9,7.2,65.0,2.3,0.0,-5.488463504007086,-1.0037900963798163,-0.1044866901356726,-0.1527547591831535,-2.063062744331546,-0.0506532348226755,-0.0506532348226755,-2.063062744331546,3,Done,anthracene_a=5.9_b=7.2_theta=65.0_Rt=2.3_A2=0.0_cx=0.0_cy=1.0_cz=11.4.log
0.0,1.0,11.5,5.9,7.2,65.0,2.3,0.0,-5.336875913431868,-0.9675589241087436,-0.0964256966253742,-0.1433157538995146,-2.016974645026494,-0.0478131243726238,-0.0478131243726238,-2.016974645026494,3,Done,anthracene_a=5.9_b=7.2_theta=65.0_Rt=2.3_A2=0.0_cx=0.0_cy=1.0_cz=11.5.log
0.0,0.8,11.2,5.9,7.2,65.0,2.3,1.0,-5.350042327772826,-0.6527898677159101,-0.1390612359391525,-0.1661157022463157,-2.136689120263327,-0.0593486406723968,-0.0593486406723968,-2.136689120263327,3,Done,anthracene_a=5.9_b=7.2_theta=65.0_Rt=2.3_A2=1.0_cx=0.0_cy=0.8_cz=11.2.log
0.0,0.8,11.3,5.9,7.2,65.0,2.3,1.0,-5.346865872852504,-0.8102886028354988,-0.1282956744544208,-0.155712841427885,-2.070418416755274,-0.0558659603120759,-0.0558659603120759,-2.070418416755274,3,Done,anthracene_a=5.9_b=7.2_theta=65.0_Rt=2.3_A2=1.0_cx=0.0_cy=0.8_cz=11.3.log
0.0,0.8,11.4,5.9,7.2,65.0,2.3,1.0,-5.252350316382945,-0.8869778548832983,-0.118290655198507,-0.1459061151836067,-1.997981799766421,-0.0526060457923449,-0.0526060457923449,-1.997981799766421,3,Done,anthracene_a=5.9_b=7.2_theta=65.0_Rt=2.3_A2=1.0_cx=0.0_cy=0.8_cz=11.4.log
0.0,0.9,11.2,5.9,7.2,65.0,2.3,1.0,-5.534790057572536,-0.7665875514503568,-0.1346485858084634,-0.166591354762204,-2.175225764454808,-0.0582555183209478,-0.0582555183209478,-2.175225764454808,3,Done,anthracene_a=5.9_b=7.2_theta=65.0_Rt=2.3_A2=1.0_cx=0.0_cy=0.9_cz=11.2.log
0.0,0.9,11.4,5.9,7.2,65.0,2.3,1.0,-5.417652765638195,-0.9359512453665956,-0.1144138982053846,-0.1466252416139468,-2.058591735723894,-0.0517394545022398,-0.0517394545022398,-2.058591735723894,3,Done,anthracene_a=5.9_b=7.2_theta=65.0_Rt=2.3_A2=1.0_cx=0.0_cy=0.9_cz=11.4.log
0.0,1.0,11.2,5.9,7.2,65.0,2.3,1.0,-5.622938896995038,-0.8755973334191367,-0.1301618891302496,-0.1667934131110087,-2.1680420299526304,-0.0571511007146909,-0.0571511007146909,-2.1680420299526304,3,Done,anthracene_a=5.9_b=7.2_theta=65.0_Rt=2.3_A2=1.0_cx=0.0_cy=1.0_cz=11.2.log
0.0,1.0,11.3,5.9,7.2,65.0,2.3,1.0,-5.612719269585796,-0.9590511434944348,-0.1199723818572238,-0.1566654016496613,-2.1346007670508698,-0.0539144042413681,-0.0539144042413681,-2.1346007670508698,3,Done,anthracene_a=5.9_b=7.2_theta=65.0_Rt=2.3_A2=1.0_cx=0.0_cy=1.0_cz=11.3.log
0.0,1.0,11.4,5.9,7.2,65.0,2.3,1.0,-5.51609653478954,-0.9806475276127458,-0.1104907058179378,-0.147137289866805,-2.0880432901903987,-0.0508672155556269,-0.0508672155556269,-2.0880432901903987,3,Done,anthracene_a=5.9_b=7.2_theta=65.0_Rt=2.3_A2=1.0_cx=0.0_cy=1.0_cz=11.4.log
