cx,cy,cz,a,b,theta,Rt,A2,E,E_i01,E_ip1,E_ip2,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
0.0,0.9,8.9,6.0,7.2,65.0,2.2,0.0,-5.260809778876137,-0.954645395744592,-0.1046209772466681,-0.1450702718575485,-1.9749772832437884,-0.0532592837698757,-0.0532592837698757,-1.9749772832437884,3,Done,naphthalene_a=6.0_b=7.2_theta=65.0_Rt=2.2_A2=0.0_cx=0.0_cy=0.9_cz=8.9.log
0.0,0.9,9.0,6.0,7.2,65.0,2.2,0.0,-5.106688302650582,-0.9619552596705034,-0.096950295032002,-0.1362142232246697,-1.9055696571304,-0.0502146052313037,-0.0502146052313037,-1.9055696571304,3,Done,naphthalene_a=6.0_b=7.2_theta=65.0_Rt=2.2_A2=0.0_cx=0.0_cy=0.9_cz=9.0.log
0.0,0.9,9.1,6.0,7.2,65.0,2.2,0.0,-4.898073230695445,-0.9254279026645236,-0.0898669621092267,-0.127899088198319,-1.8300871067331173,-0.0473525321285706,-0.0473525321285706,-1.8300871067331173,3,Done,naphthalene_a=6.0_b=7.2_theta=65.0_Rt=2.2_A2=0.0_cx=0.0_cy=0.9_cz=9.1.log
0.0,1.0,8.9,6.0,7.2,65.0,2.2,0.0,-5.353731459763367,-1.0095387155306526,-0.1010686430963687,-0.1452905279002152,-1.996736820059596,-0.0521799665584694,-0.0521799665584694,-1.996736820059596,3,Done,naphthalene_a=6.0_b=7.2_theta=65.0_Rt=2.2_A2=0.0_cx=0.0_cy=1.0_cz=8.9.log
0.0,1.0,9.0,6.0,7.2,65.0,2.2,0.0,-5.202514099713881,-0.9927277226233856,-0.0936182168661616,-0.1365687663783319,-1.940555849694647,-0.0492438472283538,-0.0492438472283538,-1.940555849694647,3,Done,naphthalene_a=6.0_b=7.2_theta=65.0_Rt=2.2_A2=0.0_cx=0.0_cy=1.0_cz=9.0.log
0.0,1.0,9.1,6.0,7.2,65.0,2.2,0.0,-4.998826236405876,-0.9393755674245768,-0.0867494924459606,-0.1283414827194064,-1.8757052012661009,-0.0464746456418652,-0.0464746456418652,-1.8757052012661009,3,Done,naphthalene_a=6.0_b=7.2_theta=65.0_Rt=2.2_A2=0.0_cx=0.0_cy=1.0_cz=9.1.log
0.0,1.1,8.9,6.0,7.2,65.0,2.2,0.0,-5.34142975352006,-1.0559016643674113,-0.0975075238966383,-0.1452986854710616,-1.970265310636023,-0.0510956292564515,-0.0510956292564515,-1.970265310636023,3,Done,naphthalene_a=6.0_b=7.2_theta=65.0_Rt=2.2_A2=0.0_cx=0.0_cy=1.1_cz=8.9.log
0.0,1.1,9.0,6.0,7.2,65.0,2.2,0.0,-5.209817061375361,-1.0163835946004838,-0.0902892763842828,-0.1366999159799888,-1.9349615980754609,-0.048260539129842,-0.048260539129842,-1.9349615980754609,3,Done,naphthalene_a=6.0_b=7.2_theta=65.0_Rt=2.2_A2=0.0_cx=0.0_cy=1.1_cz=9.0.log
0.0,1.1,9.1,6.0,7.2,65.0,2.2,0.0,-5.027076736616436,-0.9483326451154426,-0.0836420629057101,-0.1285673863603733,-1.8876843671605457,-0.0455829539569094,-0.0455829539569094,-1.8876843671605457,3,Done,naphthalene_a=6.0_b=7.2_theta=65.0_Rt=2.2_A2=0.0_cx=0.0_cy=1.1_cz=9.1.log
0.0,0.9,8.8,6.0,7.2,65.0,2.2,0.0,-5.344721670961008,-0.8896504199365154,-0.1129618401173502,-0.1545004921499639,-2.037300948984921,-0.0565035103936679,-0.0565035103936679,-2.037300948984921,3,Done,naphthalene_a=6.0_b=7.2_theta=65.0_Rt=2.2_A2=0.0_cx=0.0_cy=0.9_cz=8.8.log
